CPU Power Cap,GPU Power Cap,IPS,FLOPS
120,110,0.585511770722531,0.0
120,130,0.5885210968487375,0.0
120,150,0.5837268036783608,0.0
120,170,0.5753182425722151,0.0
120,190,0.5877058380752258,0.0
120,210,0.5626246077658836,0.0
120,230,0.5878189136478694,0.0
120,250,0.5915679255883021,0.0
140,110,0.6992944478717121,0.0
140,130,0.7219761425475111,0.0
140,150,0.707630770371816,0.0
140,170,0.6991875175595371,0.0
140,190,0.6964252123146508,0.0
140,210,0.7120462715633865,0.0
140,230,0.6934015784310957,0.0
140,250,0.7013564138474216,0.0
160,110,0.8733373783985097,0.0
160,130,0.8534071807934496,0.0
160,150,0.8441034198283843,0.0
160,170,0.8241342291234731,0.0
160,190,0.805509371657181,0.0
160,210,0.8680126176193731,0.0
160,230,0.8612432617459302,0.0
160,250,0.8510333454273412,0.0
180,110,0.9312955122984844,0.0
180,130,0.9813439163259722,0.0
180,150,0.9626910331640806,0.0
180,170,0.969711569756848,0.0
180,190,0.9353696112271584,0.0
180,210,0.9339977754623429,0.0
180,230,0.9523045266571587,0.0
180,250,0.9838040860923627,0.0
200,110,0.9619994866418085,0.0
200,130,0.9448273649214546,0.0
200,150,0.9410445909904438,0.0
200,170,0.9833157583585801,0.0
200,190,0.9239970835178486,0.0
200,210,0.9667926637668101,0.0
200,230,0.9938213354542368,0.0
200,250,0.96433167317091,0.0
300,110,0.9378788570114933,0.0
300,130,0.9483916851800409,0.0
300,150,0.9606185965052629,0.0
300,170,1.0,0.0
300,190,0.9588325115313776,0.0
300,210,0.9543166994825374,0.0
300,230,0.9946707198614924,0.0
300,250,0.939025918663927,0.0
540,110,0.9785220051171227,0.0
540,130,0.9737542154052092,0.0
540,150,0.9234036854811135,0.0
540,170,0.9300920374330138,0.0
540,190,0.9546438211191604,0.0
540,210,0.9342055953441702,0.0
540,230,0.9520347575652934,0.0
540,250,0.8970020943886318,0.0
